Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A744902,,03/09/2017 11:42,03/09/2017 11:42,1920 S Congress Ave in Austin (TX),Stray,Sick,Cat,Spayed Female,8 years,Domestic Shorthair Mix,White,,03/09/2017 13:06,03/09/2017 13:06,03/09/2009,Cat,Spayed Female,8 years,Domestic Shorthair Mix,White,0
A698513,,03/13/2015 07:03:00 AM,03/13/2015 07:03:00 AM,21951 Ann Showers in Travis (TX),Stray,Injured,Dog,Intact Male,2 years,Miniature Poodle Mix,Black,,03/13/2015 09:21:00 AM,03/13/2015 09:21:00 AM,03/13/2013,Dog,Intact Male,2 years,Miniature Poodle Mix,Black,1
A681770,*Blue,06/20/2014 11:02:00 AM,06/20/2014 11:02:00 AM,1525 Barton Springs Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,12 years,Chow Chow/German Shepherd,Brown,*Blue,07/01/2014 11:44,07/01/2014 11:44,06/20/2002,Dog,Neutered Male,12 years,Chow Chow/German Shepherd,Brown,0
A768874,,03/26/2018 03:48:00 PM,03/26/2018 03:48:00 PM,24369 Bingham Creek Road in Travis (TX),Stray,Normal,Dog,Intact Female,3 years,Border Collie/Australian Cattle Dog,Brown/White,,04/03/2018 14:30,04/03/2018 14:30,03/26/2015,Dog,Spayed Female,3 years,Border Collie/Australian Cattle Dog,Brown/White,0
A800445,Mini,07/21/2019 12:55:00 PM,07/21/2019 12:55:00 PM,11304 January Street in Austin (TX),Stray,Normal,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tan/White,Mini,07/22/2019 06:47:00 PM,07/22/2019 06:47:00 PM,06/05/2013,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tan/White,0
A810911,*Clarence,12/22/2019 02:24:00 PM,12/22/2019 02:24:00 PM,5003 Freidrich Lane in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair,Brown Tabby,*Clarence,01/11/2020 18:11,01/11/2020 18:11,11/07/2019,Cat,Neutered Male,2 months,Domestic Medium Hair,Brown Tabby,0
A715312,Sheba,11/03/2015 16:38,11/03/2015 16:38,6911 Shannon Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,White/Brown,Sheba,12/30/2016 07:47:00 AM,12/30/2016 07:47:00 AM,11/03/2005,Dog,Spayed Female,11 years,Chihuahua Shorthair Mix,White/Brown,0
A689679,*Henny,10/07/2014 18:42,10/07/2014 18:42,2624 Whitis Ave in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie,*Henny,11/06/2014 16:32,11/06/2014 16:32,08/26/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,0
A652974,Pickles,07/24/2014 07:07:00 PM,07/24/2014 07:07:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Toy Poodle,White,Pickles,08/01/2014 17:36,08/01/2014 17:36,05/01/2012,Dog,Spayed Female,2 years,Toy Poodle,White,0
A691621,*Sugar,11/07/2014 13:37,11/07/2014 13:37,Parmer And Spectrum in Austin (TX),Stray,Normal,Cat,Intact Female,8 months,Domestic Shorthair Mix,Black,*Sugar,11/14/2014 01:38:00 PM,11/14/2014 01:38:00 PM,03/07/2014,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Black,0
A705641,,06/19/2015 05:44:00 PM,06/19/2015 05:44:00 PM,2215 E M Franklin Ave in Austin (TX),Stray,Normal,Cat,Unknown,1 week,Domestic Shorthair Mix,Black/White,,06/19/2015 07:03:00 PM,06/19/2015 07:03:00 PM,06/12/2015,Cat,Unknown,1 week,Domestic Shorthair Mix,Black/White,0
A679374,Taco,05/20/2014 10:40:00 AM,05/20/2014 10:40:00 AM,8500 E  Us Hwy 290 in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Miniature Poodle Mix,White/Blue,Taco,05/21/2014 06:50:00 PM,05/21/2014 06:50:00 PM,11/20/2012,Dog,Intact Female,1 year,Miniature Poodle Mix,White/Blue,0
A717060,*Eugene,12/01/2015 13:11,12/01/2015 13:11,Greystone Dr And Hart Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Chihuahua Shorthair/Pug,Tan,*Eugene,12/06/2015 14:09,12/06/2015 14:09,12/01/2014,Dog,Neutered Male,1 year,Chihuahua Shorthair/Pug,Tan,0
A748684,,05/05/2017 12:13,05/05/2017 12:13,William Cannon And South Springs in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,,05/05/2017 15:03,05/05/2017 15:03,04/20/2017,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,0
A728836,,06/09/2016 11:29,06/09/2016 11:29,Austin (TX),Wildlife,Injured,Other,Unknown,2 years,Raccoon Mix,Gray/Black,,06/09/2016 11:44,06/09/2016 11:44,06/09/2014,Other,Unknown,2 years,Raccoon Mix,Gray/Black,1
A713915,,10/15/2015 08:47:00 AM,10/15/2015 08:47:00 AM,9315 Northgate Blvd in Austin (TX),Stray,Normal,Other,Unknown,1 year,Snake,Brown,,10/17/2015 03:16:00 PM,10/17/2015 03:16:00 PM,10/15/2014,Other,Unknown,1 year,Snake,Brown,0
A721387,Chief,02/25/2016 06:50:00 PM,02/25/2016 06:50:00 PM,Loyola And Sendero Hills Pkwy in Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Great Dane Mix,Black/White,Chief,03/07/2016 18:43,03/07/2016 18:43,03/07/2009,Dog,Neutered Male,7 years,Great Dane Mix,Black/White,0
A789995,Tigress,03/02/2019 17:41,03/02/2019 17:41,4300 Duval Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,Tigress,03/04/2019 19:04,03/04/2019 19:04,03/02/2018,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,0
A716690,Pywackett,11/23/2015 12:07:00 PM,11/23/2015 12:07:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,9 months,Domestic Shorthair Mix,Torbie,Pywackett,11/30/2015 02:56:00 PM,11/30/2015 02:56:00 PM,01/23/2015,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Torbie,0
A705826,,06/21/2015 05:01:00 PM,06/21/2015 05:01:00 PM,Littig Rd And Ballerstedt Rd in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Pit Bull Mix,Tan/White,,06/21/2015 05:39:00 PM,06/21/2015 05:39:00 PM,04/21/2015,Dog,Intact Female,1 month,Pit Bull Mix,Tan/White,1
A801678,Kora,08/18/2019 02:22:00 PM,08/18/2019 02:22:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,5 months,Whippet/Beagle,Brown/Black,Kora,08/19/2019 05:53:00 PM,08/19/2019 05:53:00 PM,03/07/2019,Dog,Spayed Female,5 months,Whippet/Beagle,Brown/Black,0
A701873,Chiquita,05/05/2015 15:32,05/05/2015 15:32,2308 Perry Ave #106 in Austin (TX),Owner Surrender,Sick,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Tan,Chiquita,05/10/2015 16:08,05/10/2015 16:08,05/05/2007,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Tan,0
A761336,,11/02/2017 18:28,11/02/2017 18:28,2130 Ponciana Loop in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Longhair Mix,Black,,11/06/2017 14:06,11/06/2017 14:06,08/03/2017,Cat,Intact Female,3 months,Domestic Longhair Mix,Black,0
A729396,,06/17/2016 04:04:00 PM,06/17/2016 04:04:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby,,06/20/2016 03:00:00 PM,06/20/2016 03:00:00 PM,04/02/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0
A719973,Zoey,01/31/2016 12:51:00 PM,01/31/2016 12:51:00 PM,11210 Renel Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Australian Shepherd Mix,Tricolor,Zoey,02/05/2016 17:15,02/05/2016 17:15,12/06/2015,Dog,Spayed Female,1 month,Australian Shepherd Mix,Tricolor,0
A779187,Duke,08/27/2018 11:33:00 AM,08/27/2018 11:33:00 AM,4904 Nuckols Crossing in Austin (TX),Public Assist,Normal,Dog,Intact Male,7 years,Great Dane Mix,Brown/Tricolor,Duke,11/02/2018 11:40,11/02/2018 11:40,08/27/2011,Dog,Intact Male,7 years,Great Dane Mix,Brown/Tricolor,0
A767448,Maximus,03/01/2018 10:50,03/01/2018 10:50,Leander (TX),Owner Surrender,Normal,Cat,Intact Male,5 weeks,Domestic Shorthair Mix,Black,Maximus,03/31/2018 11:14:00 AM,03/31/2018 11:14:00 AM,01/25/2018,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0
A731106,*Harambe,07/16/2016 11:51:00 AM,07/16/2016 11:51:00 AM,E Riverside Dr And S Pleasant Valley Rd in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/White,*Harambe,12/14/2016 08:45:00 AM,12/14/2016 08:45:00 AM,04/16/2016,Dog,Spayed Female,7 months,Labrador Retriever Mix,Black/White,0
A793893,Lily,05/01/2019 14:14,05/01/2019 14:14,Holly And Comal in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,Lily,05/02/2019 12:49,05/02/2019 12:49,05/01/2017,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,0
A688094,Savvy,09/25/2014 04:14:00 PM,09/25/2014 04:14:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,7 months,Black Mouth Cur Mix,Brown/White,Savvy,10/01/2014 12:57,10/01/2014 12:57,02/14/2014,Dog,Intact Female,7 months,Black Mouth Cur Mix,Brown/White,0
A739140,*Piper,11/28/2016 03:30:00 PM,11/28/2016 03:30:00 PM,Dalton Ln And Bastrop Hwy in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,Black/Tan Hound Mix,Black/Tan,*Piper,12/10/2016 15:08,12/10/2016 15:08,01/28/2016,Dog,Spayed Female,10 months,Black/Tan Hound Mix,Black/Tan,0
A702604,Peanut,05/16/2015 11:43:00 AM,05/16/2015 11:43:00 AM,Evening Shadows Dr And Estrellas Dr in Del Valle (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/Tan,Peanut,05/20/2015 05:19:00 PM,05/20/2015 05:19:00 PM,05/16/2013,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan,0
A698390,Dunkin,03/10/2015 18:52,03/10/2015 18:52,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,3 weeks,Chihuahua Shorthair Mix,Black/Tan,Dunkin,04/25/2015 10:49:00 PM,04/25/2015 10:49:00 PM,02/16/2015,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black/Tan,0
A701474,Rudy,04/30/2015 11:11:00 AM,04/30/2015 11:11:00 AM,Target @ 10107 Research Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Chihuahua Shorthair,Brown,Rudy,05/01/2015 11:34,05/01/2015 11:34,04/30/2012,Dog,Neutered Male,3 years,Chihuahua Shorthair,Brown,0
A797903,202 Grams,06/19/2019 12:03:00 PM,06/19/2019 12:03:00 PM,1618 Sir Thopas Trail in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair,Brown Tabby/White,202 Grams,06/19/2019 03:21:00 PM,06/19/2019 03:21:00 PM,06/11/2019,Cat,Intact Male,1 weeks,Domestic Shorthair,Brown Tabby/White,0
A760938,,10/26/2017 12:15:00 PM,10/26/2017 12:15:00 PM,12123 Boardwalk in Austin (TX),Stray,Normal,Cat,Unknown,4 months,American Shorthair Mix,Black/Black,,10/31/2017 05:52:00 PM,10/31/2017 05:52:00 PM,06/26/2017,Cat,Unknown,4 months,American Shorthair Mix,Black/Black,0
A702094,,05/09/2015 11:08,05/09/2015 11:08,8503 Ganttcrest Dr in Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black,,05/09/2015 14:42,05/09/2015 14:42,04/17/2015,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black,0
A726563,*Sally,05/12/2016 12:43,05/12/2016 12:43,715 Hidden View Circle in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Tortie Point,*Sally,05/18/2016 05:59:00 PM,05/18/2016 05:59:00 PM,05/12/2015,Cat,Spayed Female,1 year,Domestic Shorthair,Tortie Point,0
A718993,*Twix,01/10/2016 17:11,01/10/2016 17:11,Del Valle (TX),Stray,Normal,Dog,Intact Female,1 year,Miniature Poodle Mix,Gray/Cream,*Twix,01/15/2016 06:17:00 PM,01/15/2016 06:17:00 PM,01/10/2015,Dog,Spayed Female,1 year,Miniature Poodle Mix,Gray/Cream,0
A717524,*Freya,12/09/2015 14:43,12/09/2015 14:43,Ledesma/Mason in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Blue/White,*Freya,09/09/2016 12:40,09/09/2016 12:40,12/09/2012,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White,0
A754382,Mo,07/19/2017 06:41:00 PM,07/19/2017 06:41:00 PM,8700 Taylne Chaise in Austin (TX),Stray,Injured,Dog,Neutered Male,7 years,Golden Retriever,Red,Mo,07/24/2017 11:08:00 AM,07/24/2017 11:08:00 AM,07/19/2010,Dog,Neutered Male,7 years,Golden Retriever,Red,0
A601162,Sarah,03/19/2014 11:05:00 AM,03/19/2014 11:05:00 AM,290 And Convict Hill in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Chinese Sharpei/Pit Bull,Brown,Sarah,03/21/2014 11:46:00 AM,03/21/2014 11:46:00 AM,12/01/2010,Dog,Spayed Female,3 years,Chinese Sharpei/Pit Bull,Brown,0
A793509,Willy,04/26/2019 12:23:00 PM,04/26/2019 12:23:00 PM,Gonzales And Cherico in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,American Bulldog Mix,White/Black,Willy,04/29/2019 06:31:00 PM,04/29/2019 06:31:00 PM,12/26/2018,Dog,Intact Male,4 months,American Bulldog Mix,White/Black,0
A787961,,01/23/2019 01:52:00 PM,01/23/2019 01:52:00 PM,2712 Cradlerock Terrace in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue Tabby/White,,02/28/2019 04:44:00 PM,02/28/2019 04:44:00 PM,11/28/2018,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby/White,0
A684616,Laika,07/26/2014 11:29:00 AM,07/26/2014 11:29:00 AM,1801 Wells Branch Pkwy in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,German Shepherd/Catahoula,Sable,Laika,07/30/2014 05:02:00 PM,07/30/2014 05:02:00 PM,05/26/2014,Dog,Spayed Female,2 months,German Shepherd/Catahoula,Sable,0
A668847,*Tiger,12/10/2013 15:29,12/10/2013 15:29,Carnation And Montopolis in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull/Boxer,Brown/White,*Tiger,01/27/2014 03:33:00 PM,01/27/2014 03:33:00 PM,06/10/2012,Dog,Neutered Male,1 year,Pit Bull/Boxer,Brown/White,0
A718389,Zeus,12/29/2015 11:26:00 AM,12/29/2015 11:26:00 AM,S 1St St And Dittmar in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,German Shepherd Mix,Sable,Zeus,01/03/2016 17:36,01/03/2016 17:36,11/02/2015,Dog,Neutered Male,2 months,German Shepherd Mix,Sable,0
A721099,Lionel,02/21/2016 11:09:00 AM,02/21/2016 11:09:00 AM,7009 S Ih 35 in Austin (TX),Stray,Normal,Cat,Intact Male,6 months,Domestic Shorthair Mix,Orange Tabby,Lionel,03/03/2016 18:54,03/03/2016 18:54,08/21/2015,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby,0
A676621,Roxi,04/12/2014 16:27,04/12/2014 16:27,La Casa Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Boxer Mix,Brown Brindle/White,Roxi,04/12/2014 18:38,04/12/2014 18:38,04/12/2012,Dog,Spayed Female,2 years,Boxer Mix,Brown Brindle/White,0
A757098,,08/29/2017 04:44:00 PM,08/29/2017 04:44:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Tricolor,,08/31/2017 06:10:00 PM,08/31/2017 06:10:00 PM,06/29/2017,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Tricolor,0
A487913,Twin,05/20/2018 01:58:00 PM,05/20/2018 01:58:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,10 years,Boxer/Bulldog,Brown/White,Twin,08/14/2018 04:27:00 PM,08/14/2018 04:27:00 PM,06/13/2007,Dog,Neutered Male,11 years,Boxer/Bulldog,Brown/White,0
A768627,,03/22/2018 05:46:00 PM,03/22/2018 05:46:00 PM,4506 Acers Lane in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Cardigan Welsh Corgi/Labrador Retriever,Brown,,03/27/2018 02:15:00 PM,03/27/2018 02:15:00 PM,03/22/2017,Dog,Neutered Male,1 year,Cardigan Welsh Corgi/Labrador Retriever,Brown,0
A714765,*Slim,10/27/2015 03:50:00 PM,10/27/2015 03:50:00 PM,11301 Bristle Oak Trail in Austin (TX),Stray,Normal,Cat,Intact Male,5 weeks,Domestic Medium Hair Mix,Orange Tabby/White,*Slim,12/15/2015 12:24:00 PM,12/15/2015 12:24:00 PM,09/22/2015,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby/White,0
A773636,*Panther,09/22/2018 04:29:00 PM,09/22/2018 04:29:00 PM,15220 Sarahs Creek Drive in Pflugerville (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black,*Panther,10/05/2018 17:18,10/05/2018 17:18,06/03/2016,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black,0
A668747,*Brandi,12/08/2013 14:48,12/08/2013 14:48,1130 Titian Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue/White,*Brandi,02/06/2014 09:41,02/06/2014 09:41,10/24/2013,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue/White,0
A805509,Jazze,09/28/2019 11:05:00 AM,09/28/2019 11:05:00 AM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair,Brown/White,Jazze,09/30/2019 11:04:00 AM,09/30/2019 11:04:00 AM,09/28/2018,Dog,Spayed Female,1 year,Chihuahua Shorthair,Brown/White,0
A793092,,04/19/2019 02:02:00 PM,04/19/2019 02:02:00 PM,2005 Deer Run in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Pit Bull Mix,Black/White,,05/03/2019 18:09,05/03/2019 18:09,07/19/2018,Dog,Neutered Male,9 months,Pit Bull Mix,Black/White,0
A784760,Gunther,11/19/2018 06:41:00 PM,11/19/2018 06:41:00 PM,6801 Northeast Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Cairn Terrier Mix,Cream,Gunther,11/20/2018 11:23:00 AM,11/20/2018 11:23:00 AM,11/19/2016,Dog,Neutered Male,2 years,Cairn Terrier Mix,Cream,0
A637003,Sussy,06/28/2016 11:34:00 AM,06/28/2016 11:34:00 AM,502 W Longspur Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Red/White,Sussy,06/28/2016 03:40:00 PM,06/28/2016 03:40:00 PM,05/12/2012,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Red/White,0
A677630,,04/27/2014 12:03:00 PM,04/27/2014 12:03:00 PM,Harris Branch Pkwy & St Merryn Rd in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black/White,,04/27/2014 12:07:00 PM,04/27/2014 12:07:00 PM,04/12/2014,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black/White,0
A722026,,03/09/2016 12:52,03/09/2016 12:52,4315 S Congress Ave in Austin (TX),Stray,Sick,Cat,Unknown,5 months,Siamese Mix,Lilac Point/White,,03/09/2016 13:44,03/09/2016 13:44,09/09/2015,Cat,Unknown,5 months,Siamese Mix,Lilac Point/White,0
A712089,Peanut,09/16/2015 06:21:00 PM,09/16/2015 06:21:00 PM,Mickiney Falls Pkwy & Burleson Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Pug/Pekingese,Brown,Peanut,09/20/2015 11:52:00 AM,09/20/2015 11:52:00 AM,09/16/2010,Dog,Neutered Male,5 years,Pug/Pekingese,Brown,0
A683125,,07/07/2014 15:04,07/07/2014 15:04,Debba Dr And Red Fox Rd in Lakeway (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,,07/08/2014 11:58,07/08/2014 11:58,03/31/2014,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,0
A757714,Joey,09/05/2017 16:12,09/05/2017 16:12,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,10 years,American Shorthair Mix,Brown Tabby/White,Joey,09/12/2017 15:10,09/12/2017 15:10,09/05/2007,Cat,Neutered Male,10 years,American Shorthair Mix,Brown Tabby/White,0
A718406,*Boots,12/29/2015 01:31:00 PM,12/29/2015 01:31:00 PM,2817 Prado St in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,*Boots,01/19/2016 09:56:00 PM,01/19/2016 09:56:00 PM,11/22/2015,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,0
A751051,,06/03/2017 15:49,06/03/2017 15:49,2501 Wickersham in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White,,06/04/2017 16:41,06/04/2017 16:41,06/03/2016,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White,1
A784307,Himalaya,11/13/2018 06:50:00 PM,11/13/2018 06:50:00 PM,5200 North Lamar Boulevard in Austin (TX),Stray,Normal,Cat,Spayed Female,8 months,Domestic Shorthair Mix,White/Brown Tabby,Himalaya,11/26/2018 04:30:00 PM,11/26/2018 04:30:00 PM,03/13/2018,Cat,Spayed Female,8 months,Domestic Shorthair Mix,White/Brown Tabby,0
A706181,Lola,06/26/2015 01:57:00 PM,06/26/2015 01:57:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Brown/White,Lola,07/06/2015 18:22,07/06/2015 18:22,06/26/2014,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White,0
A699648,Plex,06/20/2015 04:27:00 PM,06/20/2015 04:27:00 PM,1103 Jolena in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/White,Plex,06/30/2015 01:09:00 PM,06/30/2015 01:09:00 PM,03/31/2014,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/White,0
A775958,Wrigley,07/06/2018 17:05,07/06/2018 17:05,601 East 15Th Street in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Labrador Retriever,Yellow,Wrigley,07/11/2018 13:51,07/11/2018 13:51,04/18/2017,Dog,Spayed Female,1 year,Labrador Retriever,Yellow,0
A695492,*Caesar,01/16/2015 05:40:00 PM,01/16/2015 05:40:00 PM,1088 Park Plaza in Austin (TX),Stray,Normal,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black/White,*Caesar,03/06/2015 16:56,03/06/2015 16:56,01/23/2007,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White,0
A728496,,06/04/2016 22:37,06/04/2016 22:37,1701 E Parmer Lane in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Bat Mix,Brown,,06/05/2016 10:02,06/05/2016 10:02,06/04/2015,Other,Unknown,1 year,Bat Mix,Brown,1
A682165,Man,12/28/2015 05:02:00 PM,12/28/2015 05:02:00 PM,6920 Carver in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White,Man,12/30/2015 06:31:00 PM,12/30/2015 06:31:00 PM,06/25/2013,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,0
A737294,Chocolate,10/25/2016 11:31:00 AM,10/25/2016 11:31:00 AM,Travis (TX),Owner Surrender,Normal,Other,Intact Female,1 year,Guinea Pig,Calico,Chocolate,10/25/2016 04:47:00 PM,10/25/2016 04:47:00 PM,04/25/2015,Other,Intact Female,1 year,Guinea Pig,Calico,0
A688615,,09/21/2014 01:34:00 PM,09/21/2014 01:34:00 PM,12800 Center Lake Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,,09/21/2014 03:28:00 PM,09/21/2014 03:28:00 PM,08/28/2014,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,0
A683494,Bella,07/11/2014 07:58,07/11/2014 07:58,Lakewood Dr /Bull Creek in Austin (TX),Stray,Injured,Dog,Intact Female,3 years,Jack Russell Terrier Mix,White/Brown,Bella,07/15/2014 05:42:00 PM,07/15/2014 05:42:00 PM,07/11/2011,Dog,Spayed Female,3 years,Jack Russell Terrier Mix,White/Brown,0
A700363,Ginger,04/12/2015 16:01,04/12/2015 16:01,13606 Long Meadow Dr. in Pflugerville (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,Ginger,05/16/2015 04:22:00 PM,05/16/2015 04:22:00 PM,03/09/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,0
A696806,*Davis,02/12/2015 16:24,02/12/2015 16:24,7302 Chisos Pass in Austin (TX),Stray,Normal,Dog,Intact Male,8 months,Dachshund Mix,Brown/White,*Davis,02/17/2015 07:02:00 PM,02/17/2015 07:02:00 PM,06/12/2014,Dog,Neutered Male,8 months,Dachshund Mix,Brown/White,0
A706827,Milo,07/03/2015 16:52,07/03/2015 16:52,9004 Thaxton Rd in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Labrador Retriever Mix,Black,Milo,07/26/2015 06:32:00 PM,07/26/2015 06:32:00 PM,12/08/2014,Dog,Neutered Male,7 months,Labrador Retriever Mix,Black,0
A671569,Holly,01/27/2014 01:32:00 PM,01/27/2014 01:32:00 PM,2800 Hancock Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Weimaraner/Labrador Retriever,Chocolate/Red,Holly,01/27/2014 04:28:00 PM,01/27/2014 04:28:00 PM,01/27/2010,Dog,Spayed Female,4 years,Weimaraner/Labrador Retriever,Chocolate/Red,0
A690732,Scout,10/25/2014 08:04:00 AM,10/25/2014 08:04:00 AM,Long Hollow Loop in Travis (TX),Stray,Normal,Dog,Neutered Male,6 years,Dogo Argentino/Labrador Retriever,White/Brown,Scout,01/28/2015 05:39:00 PM,01/28/2015 05:39:00 PM,10/29/2007,Dog,Neutered Male,7 years,Dogo Argentino/Labrador Retriever,White/Brown,0
A742127,Tommy,01/15/2017 12:44:00 PM,01/15/2017 12:44:00 PM,2900 Sunridge Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,11 years,Shih Tzu Mix,White/Tan,Tommy,01/17/2017 05:22:00 PM,01/17/2017 05:22:00 PM,05/01/2005,Dog,Neutered Male,11 years,Shih Tzu Mix,White/Tan,0
